feature,importance_mean,importance_std
C13,0.08707801207140624,0.008025262197726337
C1,0.08492960709144226,0.01588329978684358
card6,0.03716316316406876,0.012473977187637203
TransactionAmt,0.028363647401032883,0.0038447303369682087
card1,0.027439668363569886,0.008479344702199739
D10,0.024934372112343617,0.007854316855112098
V317,0.016955578437774843,0.0035099126995376388
C14,0.012649915114412899,0.002731685384433105
M4,0.012463699518829826,0.0020705616889467385
C5,0.012199056739625144,0.0017713887540919179
C2,0.011417712683495932,0.0033415380171669088
D1,0.00863686526262227,0.0023202199751939513
card1_card2,0.00860212952270308,0.0050729780373593
id_06,0.008123465790126757,9.67603082252928e-05
V312,0.007955228307080286,0.0015108407479597285
R_emaildomain_tld,0.00766033261566094,0.00221894393595977
id_20,0.007451499821086356,0.0012451049406530523
V294,0.007304951753897337,0.0012999557506998246
amt_cents,0.00626832510316359,0.00438741022232326
C6,0.005706347471390649,0.0008699774533036277
txn_hour,0.005673180506459263,0.0014257620741100715
D2,0.005442230923073869,0.0017886568067131154
card5,0.005218739777197519,0.0021162206584401833
C9,0.005086271534160858,0.0011351961032596356
V285,0.004661466882750302,0.0017402457588285053
addr1_addr2,0.0036973361336697006,0.0012965800146835455
card2,0.0036421293701864124,0.009157581177208584
D3,0.0035295985665756424,0.0009997096759238606
P_emaildomain,0.0033452352515619768,0.0029219120612185927
R_emaildomain,0.0033362253048502266,0.0023814784849947325
V201,0.003174448517518543,0.0014847948373470814
V166,0.0030602969780351152,0.003245335389643607
P_emaildomain_tld,0.00287742293330732,0.0026453192531789497
V310,0.002536628105975399,3.709618347714697e-05
C12,0.0022869337564197143,0.0012846204503604152
TransactionDT,0.0021159015179247342,0.0054668549443418046
V314,0.001946787940783327,0.0002843986419455952
id_05,0.0018706551424808964,0.0013500382968909925
TransactionAmt_clip,0.0017883879301535677,0.0006206736815298788
id_31,0.0017043054168043303,0.0018988121250701694
V197,0.0016178298339238155,6.132634931500082e-05
V12,0.001402599608081904,0.0006090573621667235
V215,0.0013590512985877101,0.0005747209544055444
id_13,0.0012792300039868865,0.0009664939666997297
id_17,0.0012754904128257454,0.0005631665589990883
C10,0.0012420601251060444,0.0012392297309772459
V165,0.0012369881960540379,0.0025778187048010495
V90,0.0012285443076029596,6.407593089185676e-05
amt_is_round,0.0011847517292363035,0.0006884128880588865
card4,0.001058444885344197,0.0012562284812405902
V296,0.0010183321598432233,0.0003939323457464723
C11,0.0009810840067913478,0.002517769009228915
V280,0.0009511667230093964,0.0005087143930712394
V24,0.0008992162904462401,0.0009653732002256961
id_01,0.0008834767638297528,0.0003424876594332032
V66,0.0008690726105128702,0.0007910267770966189
M6,0.0008157860639195214,0.0007174777752283168
id_30,0.0007911552184119985,0.00026093227381456804
V92,0.0007429829891220837,0.00017235237116130099
V61,0.000741113168717796,0.0004358906555609181
V287,0.0006189953057077849,0.0001249327441142539
V301,0.0006105547993925006,0.0005345661004200249
V331,0.0005756524740643995,1.81768118338663e-05
screen_width,0.0005748689620932815,0.00024661457915390374
V198,0.0005645461081148495,3.106364602245278e-05
V322,0.0005492773559353884,2.0378093117624685e-05
id_38,0.000542023507818179,0.0
D8,0.0005387212312209325,0.0009723374970090823
id_19,0.000527041280607173,0.000780329101251903
screen_height,0.0005201389548702418,0.00015133581674369
id_32,0.0005126303427708997,4.7638141712480855e-05
V184,0.0004956694921615101,4.487510302874583e-07
V171,0.0004901956674091545,4.487510302874583e-07
V298,0.0004795913561326988,0.0002470679104845903
V82,0.000459409165792124,0.0003159238699675259
V279,0.0003658615723998541,0.00020664498844082392
V23,0.00035977015201419754,2.1106839247382707e-05
V49,0.00035670336715861356,0.000959030571602017
C8,0.0003222061679193737,0.0004097965112369514
V125,0.0002924458199045447,0.0004789376243529805
V47,0.0002905613470862711,0.0001343864648661064
V54,0.00026646737873736726,8.694012696317198e-05
V313,0.0002619118250851334,0.0005462554015862845
D5,0.00024867849642366363,0.0005762062138225698
V229,0.00024235773159786422,7.602629073815532e-05
V297,0.0002199825698167753,0.00016502510402899233
V218,0.0002173384737080101,0.0002941375376814208
V83,0.000217025891979028,0.000721906993612229
V295,0.00021558709811049978,9.687512975069104e-05
V127,0.00020846637654251912,0.0004907294883264251
V315,0.00019949841197071846,0.00020041606298465764
V284,0.00019837681004042373,0.000165552911505661
V35,0.00015096629581771528,0.0003228277277683229
V103,0.00014710608886555251,0.00015557265011664312
C4,0.00013898194403442568,3.9138454677396885e-05
V311,0.0001344564505523227,0.00011470521722247794
V164,0.000128849902608937,7.497568978388483e-05
V290,0.00012121852822958672,0.00013449809412004237
V10,0.00011707646955694262,0.00021854664191182707
V309,0.0001072895803286474,0.00018457143121867778
V70,0.00010691058750900151,0.00017653679324143551
V36,9.989382449915318e-05,9.229529401705473e-05
V115,9.300159569399409e-05,2.9976539606585827e-05
V282,8.873203877834968e-05,1.968486646777047e-07
V86,7.932935391049185e-05,0.00017800987974981634
V126,7.842227082033304e-05,0.0004472956518484908
V143,7.089309693231183e-05,0.00017658952248227874
V19,5.981073087683401e-05,0.00012940814883858777
V77,5.107149945090169e-05,0.0007553120158032264
V160,4.8165948613158406e-05,0.0001083964540909263
V289,3.6700892502146885e-05,0.00016084674796395854
V286,2.1943779421625582e-05,2.5232173260738295e-05
V145,1.8853442736554982e-05,2.6662794415460576e-05
id_37,1.609105576398188e-05,6.889934048993565e-05
M8,1.6008824563170283e-05,0.000290614078753857
V53,1.1782775898712869e-05,1.5706758135054554e-05
V274,1.0668387055841796e-05,1.9223090527873438e-05
M9,9.498954910684235e-06,1.0386712440504237e-05
V75,8.93997253773963e-06,0.00013698750495768462
V253,8.344946717531165e-06,0.0
V321,7.689127303978083e-06,9.27468709114339e-07
V59,5.272228006910258e-06,8.630439559940419e-05
V29,3.896890071630743e-06,1.348467725547348e-05
V157,1.4056424152049847e-06,3.178435192002372e-05
V217,0.0,0.0
V232,0.0,0.0
V231,0.0,0.0
V230,0.0,0.0
V228,0.0,0.0
V227,0.0,0.0
V226,0.0,0.0
V225,0.0,0.0
V224,0.0,0.0
V240,0.0,0.0
V216,0.0,0.0
V239,0.0,0.0
V221,0.0,0.0
V222,0.0,0.0
V223,0.0,0.0
V207,0.0,0.0
V208,0.0,0.0
V209,0.0,0.0
V210,0.0,0.0
V211,0.0,0.0
V212,0.0,0.0
V213,0.0,0.0
V214,0.0,0.0
V330,0.0,0.0
txn_day,0.0,0.0
txn_week,0.0,0.0
V220,0.0,0.0
V188,0.0,0.0
V189,0.0,0.0
V190,0.0,0.0
V191,0.0,0.0
V192,0.0,0.0
V193,0.0,0.0
V194,0.0,0.0
V195,0.0,0.0
V179,0.0,0.0
V180,0.0,0.0
V181,0.0,0.0
V182,0.0,0.0
V183,0.0,0.0
V185,0.0,0.0
V236,0.0,0.0
V187,0.0,0.0
V172,0.0,0.0
V173,0.0,0.0
V174,0.0,0.0
V175,0.0,0.0
V176,0.0,0.0
V177,0.0,0.0
V178,0.0,0.0
V233,0.0,0.0
V234,0.0,0.0
V235,0.0,0.0
txn_month,0.0,0.0
V237,0.0,0.0
V238,0.0,0.0
V186,0.0,0.0
V276,0.0,0.0
V277,0.0,0.0
V281,0.0,0.0
V14,0.0,0.0
V1,0.0,0.0
V2,0.0,0.0
V3,0.0,0.0
V89,0.0,0.0
V30,0.0,0.0
V32,0.0,0.0
V33,0.0,0.0
V34,0.0,0.0
V80,0.0,0.0
addr2,0.0,0.0
V27,0.0,0.0
V28,0.0,0.0
V323,0.0,0.0
V15,0.0,0.0
V16,0.0,0.0
V17,0.0,0.0
V26,0.0,0.0
V254,0.0,0.0
V255,0.0,0.0
V256,0.0,0.0
V241,0.0,0.0
V242,0.0,0.0
V243,0.0,0.0
V244,0.0,0.0
V252,0.0,0.0
P_emaildomain_provider,0.0,0.0
R_emaildomain_provider,0.0,0.0
V206,0.0,0.0
id_34,0.0,0.0
id_35,0.0,0.0
amt_log,0.0,0.0
amt_log_clip,0.0,0.0
M1,0.0,0.0
M2,0.0,0.0
id_16,0.0,0.0
id_29,0.0,0.0
C3,0.0,0.0
V11,0.0,0.0
V275,0.0,0.0
